id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
2121,"Warhol, Andy",Male,1928–1987,1928,1987,"Pittsburgh, United States","New York, United States",http://www.tate.org.uk/art/artists/andy-warhol-2121
1631,"Millares, Manolo",Male,1926–1972,1926,1972,"Las Palmas de Gran Canaria, España","Madrid, España",http://www.tate.org.uk/art/artists/manolo-millares-1631
1350,"Jacovleff, Alexandre",Male,1887–1938,1887,1938,"Sankt-Peterburg, Rossiya","Paris, France",http://www.tate.org.uk/art/artists/alexandre-jacovleff-1350
260,"Hills, Robert",Male,1769–1844,1769,1844,"Islington, United Kingdom","London, United Kingdom",http://www.tate.org.uk/art/artists/robert-hills-260
79,"Callow, William",Male,1812–1908,1812,1908,"Greenwich, United Kingdom","Buckinghamshire, United Kingdom",http://www.tate.org.uk/art/artists/william-callow-79
117,"Cox, David",Male,1783–1859,1783,1859,"Birmingham, United Kingdom",Birmingham,http://www.tate.org.uk/art/artists/david-cox-117
1438,"Kounellis, Jannis",Male,born 1936,1936,,"Piraiévs, Ellás",,http://www.tate.org.uk/art/artists/jannis-kounellis-1438
747,"Beuys, Joseph",Male,1921–1986,1921,1986,"Krefeld, Deutschland","Düsseldorf, Deutschland",http://www.tate.org.uk/art/artists/joseph-beuys-747
10512,"Woodman, Francesca",Female,1958–1981,1958,1981,"Denver, United States","New York, United States",http://www.tate.org.uk/art/artists/francesca-woodman-10512
7743,"Weiner, Lawrence",Male,born 1942,1942,,"Bronx, United States",,http://www.tate.org.uk/art/artists/lawrence-weiner-7743
